f_name,exclusion_criteria
../data/Exp 2b/data/cleaned/sub-45_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-90_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-28_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-31_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-109_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-78_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-30_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-104_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-74_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-25_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-84_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-26_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-21_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-70_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-118_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-110_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-36_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-119_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-39_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-68_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-103_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-99_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-73_task-background.csv,2back_accuracy < 50%
