,subject,background_within,background_between,nback_within,nback_between,background_within_RT,background_between_RT,nback_within_RT,nback_between_RT
35,sub-37,,,0.5185185185185185,0.5185185185185185,,,1.5905214285714284,1.7119
36,sub-38,,,0.6666666666666666,0.5555555555555556,,,1.644777777777778,1.822733333333333
37,sub-42,0.5925925925925926,0.5185185185185185,,,1.6392937500000002,1.8288999999999997,,
38,sub-43,,,0.5925925925925926,0.5925925925925926,,,1.2713999999999999,1.3107625
39,sub-44,,,0.5555555555555556,0.5925925925925926,,,1.5385066666666667,1.54251875
40,sub-46,,,0.6296296296296297,0.48148148148148145,,,1.7809823529411766,1.5769
41,sub-47,,,0.4074074074074074,0.6296296296296297,,,1.2885727272727272,1.2830176470588235
42,sub-48,,,0.6666666666666666,0.5555555555555556,,,1.9000722222222217,1.9387866666666667
43,sub-49,,,0.5185185185185185,0.6666666666666666,,,2.4892857142857143,2.5374444444444446
44,sub-4,,,0.5185185185185185,0.4074074074074074,,,1.3320642857142855,1.2026636363636365
45,sub-50,,,0.6666666666666666,0.7037037037037037,,,1.4068888888888889,1.4628947368421052
46,sub-52,0.7407407407407407,0.6296296296296297,,,1.6429850000000006,1.625164705882353,,
47,sub-55,0.7407407407407407,0.5185185185185185,,,1.401825,1.5146785714285715,,
48,sub-56,0.7777777777777778,0.6296296296296297,,,1.5191904761904762,1.622470588235294,,
49,sub-58,,,0.6296296296296297,0.6296296296296297,,,1.4568882352941175,1.3601882352941177
50,sub-5,,,0.5185185185185185,0.5925925925925926,,,1.544857142857143,1.3965
51,sub-60,,,0.5185185185185185,0.7407407407407407,,,1.517628571428571,1.4728249999999998
52,sub-61,,,0.5185185185185185,0.48148148148148145,,,1.599114285714286,1.6614461538461536
53,sub-64,,,0.5925925925925926,0.5925925925925926,,,1.3397125000000003,1.39925625
54,sub-66,,,0.7777777777777778,0.6666666666666666,,,2.046880952380952,2.422572222222222
55,sub-6,,,0.8148148148148148,0.7407407407407407,,,2.105740909090909,2.4545699999999995
56,sub-71,0.8148148148148148,0.5185185185185185,,,2.8879545454545457,3.161928571428571,,
57,sub-75,0.8518518518518519,0.37037037037037035,,,1.7459913043478261,1.56083,,
58,sub-77,,,0.37037037037037035,0.7777777777777778,,,2.79906,2.777985714285714
59,sub-7,,,0.8518518518518519,0.5925925925925926,,,1.5877826086956521,1.6970187499999998
60,sub-80,0.7407407407407407,0.37037037037037035,,,1.5752000000000002,1.5503,,
61,sub-81,,,0.5185185185185185,0.4444444444444444,,,1.0811,1.10585
62,sub-83,,,0.5925925925925926,0.6666666666666666,,,1.8760562499999998,2.2414555555555555
63,sub-85,,,0.6666666666666666,0.6666666666666666,,,1.41055,1.8443499999999997
64,sub-86,,,0.5555555555555556,0.6296296296296297,,,1.64848,1.5102411764705883
65,sub-88,,,0.6296296296296297,0.5185185185185185,,,1.0498235294117648,1.0464999999999998
66,sub-89,0.5555555555555556,0.5925925925925926,,,1.5354400000000004,1.90388125,,
67,sub-8,,,0.8518518518518519,0.7037037037037037,,,1.3738608695652175,1.4073526315789475
68,sub-91,0.7037037037037037,0.4074074074074074,,,1.6105263157894736,1.564090909090909,,
69,sub-92,0.5925925925925926,0.37037037037037035,,,1.7458124999999998,1.686,,
70,sub-93,0.4444444444444444,0.48148148148148145,,,1.1797916666666668,1.5398076923076922,,
71,sub-94,0.5185185185185185,0.5185185185185185,,,1.6164000000000003,1.8234142857142857,,
72,sub-96,0.6296296296296297,0.5185185185185185,,,1.5606647058823528,1.5693857142857142,,
73,sub-98,0.6666666666666666,0.4444444444444444,,,1.1761666666666668,1.5314166666666669,,
74,sub-9,,,0.7037037037037037,0.7777777777777778,,,2.279573684210527,2.979685714285714
