,subject,noclock_within,noclock_between,clock_within,clock_between,noclock_within_RT,noclock_between_RT,clock_within_RT,clock_between_RT
26,sub-36,0.6666666666666666,0.4444444444444444,0.8333333333333334,0.6666666666666666,2.256583333333333,1.839625,1.860466666666667,2.221583333333333
27,sub-37,0.5555555555555556,0.6111111111111112,0.3333333333333333,0.3888888888888889,1.2692729999999999,1.3864831818181818,1.5039341666666663,1.911522857142857
28,sub-38,0.5555555555555556,0.5,0.5,0.6111111111111112,1.59127,1.5153755555555555,1.8772183333333337,2.2099486363636363
29,sub-39,0.3333333333333333,0.6111111111111112,0.5,0.5,2.9543191666666666,2.677769545454545,2.5354561111111114,3.8264872222222217
30,sub-3,0.5555555555555556,0.6666666666666666,0.6111111111111112,0.4444444444444444,2.2918259999999995,2.2920399999999996,1.800143636363636,1.7582468750000002
31,sub-40,0.4444444444444444,0.6111111111111112,0.6111111111111112,0.6111111111111112,1.14795625,1.958325,1.776984090909091,1.6519136363636364
32,sub-41,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.3888888888888889,1.6571095833333336,2.377674,1.7959116666666668,2.010569285714286
33,sub-42,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.3888888888888889,1.7053464999999999,2.267151,1.8537020000000002,1.6851842857142858
34,sub-43,0.8333333333333334,0.6111111111111112,0.5,0.3888888888888889,2.1775113333333334,2.4365990909090907,1.7604394444444447,1.8226064285714283
35,sub-44,0.6666666666666666,0.6111111111111112,0.4444444444444444,0.5555555555555556,1.4908333333333335,1.9922727272727272,1.356625,1.4171999999999998
36,sub-45,0.6666666666666666,0.7222222222222222,0.5555555555555556,0.3888888888888889,1.5888620833333336,2.1897711538461535,1.803296,2.2032064285714283
37,sub-46,0.8888888888888888,0.5555555555555556,0.7222222222222222,0.2222222222222222,1.3236959374999997,1.6360824999999999,1.5534750000000002,1.5258937499999998
38,sub-47,1.0,0.16666666666666666,0.9444444444444444,0.1111111111111111,3.231277777777778,4.409666666666666,3.0335294117647065,4.0985
39,sub-48,0.4444444444444444,0.6111111111111112,0.7222222222222222,0.6666666666666666,1.7980468749999998,1.9999890909090907,1.4602826923076921,2.0276329166666667
40,sub-49,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.928738125,1.3312475000000001,1.05759125,1.4594794999999998
41,sub-4,0.7222222222222222,0.3888888888888889,0.6666666666666666,0.5,2.1725053846153846,2.246667142857143,1.6912075,2.169853888888889
42,sub-50,0.7777777777777778,0.5555555555555556,0.8333333333333334,0.6111111111111112,1.5646892857142853,1.9931740000000002,1.6899469999999999,2.4545218181818185
43,sub-51,0.5555555555555556,0.6666666666666666,0.5,0.7777777777777778,2.9001885,3.9960229166666665,2.0378205555555553,3.254915357142857
44,sub-52,0.8333333333333334,0.6111111111111112,0.7222222222222222,0.4444444444444444,5.389540666666666,6.387415454545454,5.934463846153846,7.237635625
45,sub-55,0.6666666666666666,0.5,1.0,0.3888888888888889,1.6794183333333335,2.29354,1.8947608333333332,2.1176742857142856
46,sub-58,0.5,0.5555555555555556,0.5555555555555556,0.6111111111111112,3.9721027777777778,2.7057045,2.2111039999999997,4.361976363636365
47,sub-59,0.3888888888888889,0.6666666666666666,0.6111111111111112,0.4444444444444444,1.1186278571428572,1.8298704166666668,2.2102454545454546,2.9210768750000002
48,sub-5,0.6666666666666666,0.6111111111111112,0.5555555555555556,0.5,2.2688070833333334,2.5433449999999995,2.0246335,3.0985050000000003
49,sub-60,0.5555555555555556,0.3333333333333333,0.6111111111111112,0.5555555555555556,1.7260965,2.0144525,1.5725759090909088,1.9474764999999998
50,sub-61,0.5555555555555556,0.5555555555555556,0.7777777777777778,0.6666666666666666,3.1664,5.164699999999999,3.052,6.382166666666667
51,sub-62,0.6111111111111112,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.4869768181818181,0.41739666666666664,0.9449474999999999,1.0037825
52,sub-63,0.7777777777777778,0.5,0.9444444444444444,0.5,1.5807835714285712,2.5733977777777777,1.2835573529411763,1.6102305555555556
53,sub-64,0.5555555555555556,0.4444444444444444,0.7777777777777778,0.5555555555555556,0.8945335000000002,1.237394375,0.8100828571428572,0.8849735000000001
