subject,unpredictable_boundary_rt,unpredictable_nonboundary_rt,unpredictable_second_item_rt,predictable_boundary_rt,predictable_nonboundary_rt,predictable_second_item_rt
sub-58,1.117611857142857,0.9979246944444445,0.9954988888888889,1.0284231944444444,0.9912597215189871,0.9764601388888889
sub-59,0.9084002777777778,0.8055784444444446,0.8709527777777776,0.9373923148148147,0.8634601989389924,0.815805849056604
sub-5,1.2025041666666665,1.2399037853107342,1.2339005555555551,1.1759431944444443,1.1987432608695654,1.1271466666666667
sub-60,1.0678045833333334,1.0032595833333338,1.1440991666666667,0.9213444915254235,0.9584288994565214,0.958956525423729
sub-61,1.086861111111111,0.9872777777777777,0.9733055555555556,0.9113333333333333,0.9651515151515154,0.7754166666666666
sub-62,0.6085206944444445,0.6494515083798882,0.6626612500000001,0.9786086111111112,0.6579451142131979,0.7504938888888889
sub-63,1.2038115714285718,0.9775557303370788,1.0337019444444444,1.1113245833333332,0.9832126147959178,0.9819407142857141
sub-64,0.8758001388888887,0.7258377500000003,0.736027222222222,0.768237361111111,0.7234619570707072,0.6474938888888889
sub-65,1.0927993055555556,1.1212075418994416,1.0579211111111109,0.9663179166666667,1.094012113924051,1.1036040277777777
sub-66,1.085540882352941,0.8544007777777782,0.9206924999999999,1.06170875,0.8613730484693893,0.8417809722222223
sub-68,1.0771885714285714,0.9378400000000007,0.9614833333333329,0.8836499999999998,0.9128367088607598,0.8802972222222224
sub-69,0.8270857142857144,0.9300388888888887,0.9259722222222222,1.0340571428571428,0.94487012987013,1.0125151515151514
sub-6,0.8449109722222222,0.7286747765363129,0.6723704166666666,0.7323293055555556,0.751340037974684,0.7324343055555559
sub-70,1.5416530303030296,1.4004577999999996,1.3782731428571429,1.3271213888888889,1.3544533419689113,1.3043859722222217
sub-72,0.9234256944444444,0.8001416388888886,0.8166105555555556,1.0040872222222224,0.8244793434343439,0.8638709722222225
sub-73,0.8744722222222223,0.6972111111111108,0.6825,0.8404444444444445,0.7369416243654819,0.7083888888888888
sub-74,0.897603888888889,0.7627964444444444,0.7811904166666667,0.9752650000000003,0.825915,0.8621352941176471
sub-75,0.8054431944444445,0.6945433333333335,0.6364115277777777,0.6675479166666667,0.7110550505050506,0.6348381944444447
sub-76,0.8082894285714286,0.7481978370786515,0.7333145833333332,0.693053888888889,0.7418812853470441,0.6498260294117646
sub-77,1.0206388888888889,0.9684333333333333,0.9597500000000001,1.0729142857142857,0.9942828282828282,1.0781944444444447
